Sample#,spectral_centroid,spectral_bandwidth,spectral_rolloff,onset_strength,mfcc,zero_crossing_rate,percussion,label
0,2511.3862502250304,2729.875911571636,5842.98490636489,1.0450059,-9.416307,0.11145429851628151,0.00043898445,running water/noise
1,4404.511193339161,2927.3963228064904,8127.7172191722975,1.1537287,-6.2394376,0.3326127885698198,0.001990815,running water/noise
2,1493.9859350581235,2298.5555997648007,3552.2040758634867,0.96454114,-7.512391,0.03440583881578947,0.00031832934,running water/noise
3,6176.509395713944,2558.9978452407713,9052.090669014084,1.0142285,-9.270225,0.5861673949949698,0.0047904216,running water/noise
4,3261.1774459395597,2767.3630921233425,6846.577785326087,1.0439733,-12.088974,0.20098788496376813,0.0019871066,running water/noise
5,3827.0907340096774,2897.3937667993027,7378.245206643607,1.8293152,-8.2832155,0.19734389909351144,0.0066237394,running water/noise
6,2159.6084465598333,2528.3402639510587,4900.780391693115,1.0256083,-6.2748113,0.0838460922241211,0.0007355827,running water/noise
7,2457.0649969961364,2855.9773280872205,6046.647832498133,1.0226448,-5.8739867,0.073238296812749,0.0012670269,leak
8,2991.407623938848,2866.1983307544774,6351.338902285941,1.335028,-6.9454026,0.13139823929704017,0.0011241431,running water/noise
9,1942.2015958817399,2440.676151564851,4443.727401540249,1.1578088,-7.0780997,0.05965375296677215,0.00056884665,running water/noise
10,1674.740328857118,2252.133133573064,3710.8027109842815,1.0940149,-14.702501,0.05152780376746507,0.0003706649,leak
11,1955.6517669938573,2398.773748252547,4323.337493733289,0.96410817,-16.73592,0.0337384065842246,5.8112168e-05,running water/noise
12,2568.95052810829,2762.7852079044083,5791.420412853937,1.62908,-8.389852,0.07530456880179558,0.0064972,leak
13,6083.577378341622,2372.806342583142,8806.208680516524,0.97383076,-10.602263,0.5676313441434353,0.0031109303,running water/noise
14,6252.957275763035,2563.8607181144052,8848.78915640024,1.1481047,-11.124571,0.6107490735176282,0.0023382157,running water/noise
15,3125.11457823708,3003.675435623324,7190.475915310651,0.97742915,-18.191978,0.15352448533037474,6.676588e-05,running water/noise
16,2797.640973325931,2800.9362155900094,6144.866842830882,1.0005367,-19.79933,0.13981962316176472,5.342031e-05,leak
17,2715.7746553131938,2513.1421746466,5651.849485339334,1.145124,-15.120982,0.15303293408989266,0.0008966413,running water/noise
18,4245.695098098805,3241.9418319920815,8323.671001233553,1.1005495,-7.6915717,0.26680407072368423,0.001029605,running water/noise
19,2138.5294224524673,2480.4463435049174,4804.941030649038,1.0703683,-17.588945,0.0940475915310651,0.00019448157,leak
