test_set,tr_epoch,pred,label,test_score
0.2,20,[1 1 1 0 0 0 1 1 0 1 1 0],[0 1 0 0 1 1 0 0 0 0 1 0],"[40.451908111572266, 0.4166666567325592]"
0.2,50,[1 0 0 0 0 0 0 0 0 1 1 0],[0 1 0 0 1 1 0 0 0 0 1 0],"[13.796875953674316, 0.5833333134651184]"
0.2,100,[1 0 0 0 0 0 0 0 0 1 1 0],[0 1 0 0 1 1 0 0 0 0 1 0],"[18.96671485900879, 0.5833333134651184]"
0.3,20,[1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],[0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0],"[7.89695405960083, 0.5555555820465088]"
0.3,50,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0],"[3.093771457672119, 0.6111111044883728]"
0.3,100,[1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1],[0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0],"[18.364755630493164, 0.3888888955116272]"
0.4,20,[1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 1 0],"[15.848278999328613, 0.4166666567325592]"
0.4,50,[1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 1 0],"[14.476912498474121, 0.4166666567325592]"
0.4,100,[1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 1 0],"[21.849288940429688, 0.4166666567325592]"
0.5,20,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0],[0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 1 0 1 1 1 1 1 1],"[7.851890563964844, 0.5]"
0.5,50,[1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 1 0 1 1 1 1 1 1],"[15.521565437316895, 0.5333333611488342]"
0.5,100,[1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 1 0 1 1 1 1 1 1],"[27.208410263061523, 0.5333333611488342]"
